sno,tile,rgb,r*g*b,filtered
71,64_98.jpeg,"255,254,254",16451580,False
72,98_57.jpeg,"255,255,255",16581375,False
73,97_79.jpeg,"255,255,255",16581375,False
74,6_16.jpeg,"255,255,255",16581375,False
75,116_87.jpeg,"255,255,255",16581375,False
76,27_62.jpeg,"255,255,255",16581375,False
77,29_52.jpeg,"255,255,255",16581375,False
78,34_130.jpeg,"255,255,255",16581375,False
79,72_79.jpeg,"161,90,161",2332890,True
80,120_9.jpeg,"255,255,255",16581375,False
81,67_56.jpeg,"255,255,255",16581375,False
82,81_85.jpeg,"255,255,255",16581375,False
83,115_27.jpeg,"255,255,255",16581375,False
84,49_87.jpeg,"255,255,255",16581375,False
85,46_110.jpeg,"255,255,255",16581375,False
86,54_62.jpeg,"255,255,255",16581375,False
87,85_31.jpeg,"255,255,255",16581375,False
88,47_145.jpeg,"255,255,255",16581375,False
89,46_93.jpeg,"255,255,255",16581375,False
90,62_124.jpeg,"212,170,205",7388200,True
91,25_8.jpeg,"255,255,255",16581375,False
92,6_54.jpeg,"255,255,255",16581375,False
93,91_104.jpeg,"255,255,255",16581375,False
94,34_17.jpeg,"255,255,255",16581375,False
95,54_130.jpeg,"255,255,255",16581375,False
96,57_26.jpeg,"255,255,255",16581375,False
97,43_116.jpeg,"255,255,255",16581375,False
98,107_80.jpeg,"255,255,255",16581375,False
99,108_126.jpeg,"255,255,255",16581375,False
100,97_15.jpeg,"255,255,255",16581375,False
101,9_10.jpeg,"255,255,255",16581375,False
102,58_103.jpeg,"255,255,255",16581375,False
103,57_124.jpeg,"255,255,255",16581375,False
104,36_130.jpeg,"255,255,255",16581375,False
105,36_19.jpeg,"255,255,255",16581375,False
106,28_117.jpeg,"255,255,255",16581375,False
107,35_23.jpeg,"255,255,255",16581375,False
108,96_54.jpeg,"255,255,255",16581375,False
109,117_52.jpeg,"255,255,255",16581375,False
110,56_62.jpeg,"255,255,255",16581375,False
111,89_129.jpeg,"255,255,255",16581375,False
112,117_127.jpeg,"255,255,255",16581375,False
113,48_119.jpeg,"255,255,255",16581375,False
114,79_32.jpeg,"255,255,255",16581375,False
115,98_49.jpeg,"255,255,255",16581375,False
116,103_118.jpeg,"255,255,255",16581375,False
117,28_135.jpeg,"255,255,255",16581375,False
118,32_60.jpeg,"255,255,255",16581375,False
119,120_3.jpeg,"255,255,255",16581375,False
120,6_105.jpeg,"255,255,255",16581375,False
121,14_132.jpeg,"255,255,255",16581375,False
122,58_101.jpeg,"255,255,255",16581375,False
123,17_106.jpeg,"255,255,255",16581375,False
124,86_38.jpeg,"255,255,255",16581375,False
125,0_133.jpeg,"255,255,255",16581375,False
126,103_126.jpeg,"255,255,255",16581375,False
127,67_46.jpeg,"255,255,255",16581375,False
128,57_111.jpeg,"249,240,247",14760720,False
129,14_44.jpeg,"255,255,255",16581375,False
130,51_17.jpeg,"255,255,255",16581375,False
131,48_78.jpeg,"255,255,255",16581375,False
132,91_1.jpeg,"255,255,255",16581375,False
133,74_45.jpeg,"255,255,255",16581375,False
134,64_11.jpeg,"255,255,255",16581375,False
135,121_32.jpeg,"255,255,255",16581375,False
136,14_96.jpeg,"255,255,255",16581375,False
137,0_70.jpeg,"255,255,255",16581375,False
138,107_136.jpeg,"255,255,255",16581375,False
139,71_129.jpeg,"255,255,255",16581375,False
140,120_50.jpeg,"255,255,255",16581375,False
141,71_59.jpeg,"255,255,255",16581375,False
142,3_85.jpeg,"255,255,255",16581375,False
143,21_39.jpeg,"255,255,255",16581375,False
144,79_145.jpeg,"255,255,255",16581375,False
145,113_3.jpeg,"255,255,255",16581375,False
146,51_127.jpeg,"255,255,255",16581375,False
147,75_135.jpeg,"255,255,255",16581375,False
148,100_120.jpeg,"255,255,255",16581375,False
149,33_36.jpeg,"255,255,255",16581375,False
150,30_43.jpeg,"255,255,255",16581375,False
151,55_93.jpeg,"255,255,255",16581375,False
152,8_92.jpeg,"255,255,255",16581375,False
153,68_66.jpeg,"255,255,255",16581375,False
154,14_77.jpeg,"255,255,255",16581375,False
155,23_48.jpeg,"255,255,255",16581375,False
156,72_11.jpeg,"255,255,255",16581375,False
157,56_59.jpeg,"255,255,255",16581375,False
